,Total Words,Unique Words,Average Words per Sample,Lexical Diversity
pt,51.0,21.0,3.923076923076923,0.4117647058823529
fr,126.0,31.0,4.666666666666667,0.24603174603174602
it,115.0,32.0,3.484848484848485,0.2782608695652174
vi,45.0,29.0,4.5,0.6444444444444445
ko,12.0,11.0,4.0,0.9166666666666666
ar,159.0,29.0,3.975,0.18238993710691823
es,31.0,19.0,4.428571428571429,0.6129032258064516
ja,27.0,26.0,2.4545454545454546,0.9629629629629629
de,35.0,18.0,4.375,0.5142857142857142
ru,256.0,46.0,4.266666666666667,0.1796875
zh,100.0,73.0,1.8518518518518519,0.73
en,27.0,15.0,4.5,0.5555555555555556
tr,163.0,40.0,5.433333333333334,0.24539877300613497
